2026-04-28 12:06:15 | INFO     | agents.nutrition_planner_agent:nutrition_planner_node:119 | LLM provided 4 suggestions
2026-04-28 12:06:15 | INFO     | observability:log_agent_end:75 | ✔ AGENT END: NutritionPlannerAgent
2026-04-28 12:06:15 | INFO     | observability:log_agent_start:63 | ▶ AGENT START: CulturalAdapterAgent
2026-04-28 12:06:15 | INFO     | tools.food_database:__init__:61 | Food database loaded: 50 items from C:\Users\Lahiru\Desktop\CTSE assignment 2\smart-diet-mas\data\food_database.json
2026-04-28 12:06:15 | INFO     | observability:log_tool_usage:88 | 🔧 TOOL: FoodDatabaseTool.get_cultural_substitutions
2026-04-28 12:06:16 | DEBUG    | observability:log_llm_call:101 | 🤖 LLM call by CulturalAdapterAgent
2026-04-28 12:06:25 | DEBUG    | observability:log_llm_call:101 | 🤖 LLM call by CulturalAdapterAgent
2026-04-28 12:06:25 | INFO     | observability:log_agent_end:75 | ✔ AGENT END: CulturalAdapterAgent
2026-04-28 12:06:25 | INFO     | observability:log_agent_start:63 | ▶ AGENT START: CalorieAnalyzerAgent
2026-04-28 12:06:25 | INFO     | observability:log_tool_usage:88 | 🔧 TOOL: CalorieAnalysis
2026-04-28 12:06:25 | DEBUG    | observability:log_llm_call:101 | 🤖 LLM call by CalorieAnalyzerAgent
2026-04-28 12:06:52 | DEBUG    | observability:log_llm_call:101 | 🤖 LLM call by CalorieAnalyzerAgent
2026-04-28 12:06:52 | INFO     | tools.file_export:__init__:23 | FileExportTool initialized: C:\Users\Lahiru\Desktop\CTSE assignment 2\smart-diet-mas\output
2026-04-28 12:06:52 | INFO     | observability:log_tool_usage:88 | 🔧 TOOL: FileExportTool.export_final_report
2026-04-28 12:06:52 | INFO     | tools.file_export:export_json:45 | JSON exported: C:\Users\Lahiru\Desktop\CTSE assignment 2\smart-diet-mas\output\meal_plan_20260428_120652.json
2026-04-28 12:06:52 | INFO     | tools.file_export:export_text:70 | Text exported: C:\Users\Lahiru\Desktop\CTSE assignment 2\smart-diet-mas\output\meal_plan_20260428_120652.txt
2026-04-28 12:06:52 | INFO     | observability:log_agent_end:75 | ✔ AGENT END: CalorieAnalyzerAgent
2026-04-28 12:06:52 | INFO     | orchestration.workflow:run_workflow:117 | ============================================================
2026-04-28 12:06:52 | INFO     | orchestration.workflow:run_workflow:118 | Workflow Complete!
2026-04-28 12:06:52 | INFO     | orchestration.workflow:run_workflow:119 | ============================================================
